Conference,Year,Title,DOI,AuthorNames-Deduped,Award,Accessible,Early,Resources
Vis,2024,Curio: A Dataflow-Based Framework for Collaborative Urban Visual Analytics,10.1109/TVCG.2024.3456353,Gustavo Moreira;Maryam Hosseini;Carolina Veiga;Lucas Alexandre;Nicola Colaninno;Daniel de Oliveira;Nivan Ferreira;Marcos Lage;Fabio Miranda,,,TRUE,P;V;O
Vis,2024,D-Tour: Semi-Automatic Generation of Interactive Guided Tours for Visualization Dashboard Onboarding,10.1109/TVCG.2024.3456347,Vaishali Dhanoa;Andreas Hinterreiter;Vanessa Fediuk;Niklas Elmqvist;Eduard Gröller;Marc Streit,,,TRUE,P;V;O
Vis,2024,"DaedalusData: Exploration, Knowledge Externalization and Labeling of Particles in Medical Manufacturing — A Design Study",10.1109/TVCG.2024.3456329,Alexander Wyss;Gabriela Morgenshtern;Amanda Hirsch-Hüsler;Jürgen Bernard,,,TRUE,P;V;O
Vis,2024,DataGarden: Formalizing Personal Sketches into Structured Visualization Templates,10.1109/TVCG.2024.3456336,Anna Offenwanger;Theophanis Tsandilas;Fanny Chevalier,,,TRUE,P;V;O
Vis,2024,Defogger: A Visual Analysis Approach for Data Exploration of Sensitive Data Protected by Differential Privacy,10.1109/TVCG.2024.3456304,Xumeng Wang;Shuangcheng Jiao;Chris Bryan,,,TRUE,P;V;O
Vis,2024,DeLVE into Earth's Past: A Visualization-Based Exhibit Deployed Across Multiple Museum Contexts,10.1109/TVCG.2024.3456174,Mara Solen;Nigar Sultana;Laura A. Lukes;Tamara Munzner,,TRUE,TRUE,P;V;O
Vis,2024,DG Comics: Semi-Automatically Authoring Graph Comics for Dynamic Graphs,10.1109/TVCG.2024.3456340,Joohee Kim;Hyunwook Lee;Duc M. Nguyen;Minjeong Shin;Bum Chul Kwon;Sungahn Ko;Niklas Elmqvist,,,TRUE,P;V;O
Vis,2024,DiffFit: Visually-Guided Differentiable Fitting of Molecule Structures to a Cryo-EM Map,10.1109/TVCG.2024.3456404,Deng Luo;Zainab Alsuwaykit;Dawar Khan;Ondřej Strnad;Tobias Isenberg;Ivan Viola,,,TRUE,P;V;O
Vis,2024,DimBridge: Interactive Explanation of Visual Patterns in Dimensionality Reductions with Predicate Logic,10.1109/TVCG.2024.3456391,Brian Montambault;Gabriel Appleby;Jen Rogers;Camelia D. Brumar;Mingwei Li;Remco Chang,,,TRUE,V;O
Vis,2024,Discursive Patinas: Anchoring Discussions in Data Visualizations,10.1109/TVCG.2024.3456334,Tobias Kauer;Derya Akbaba;Marian Dörk;Benjamin Bach,,TRUE,TRUE,P;V;O
Vis,2024,"Distributed Augmentation, Hypersweeps, and Branch Decomposition of Contour Trees for Scientific Exploration",10.1109/TVCG.2024.3456322,Mingzhe Li;Hamish Carr;Oliver Rübel;Bei Wang;Gunther H Weber,,,TRUE,V;O
Vis,2024,DITTO: A Visual Digital Twin for Interventions and Temporal Treatment Outcomes in Head and Neck Cancer,10.1109/TVCG.2024.3456160,Andrew Wentzel;Serageldin Attia;Xinhua Zhang;Guadalupe Canahuate;Clifton David Fuller;G. Elisabeta Marai,,,TRUE,P;V;O
Vis,2024,Does This Have a Particular Meaning? Interactive Pattern Explanation for Network Visualizations,10.1109/TVCG.2024.3456192,Xinhuan Shu;Alexis Pister;Junxiu Tang;Fanny Chevalier;Benjamin Bach,,,TRUE,P;V;O
Vis,2024,DracoGPT: Extracting Visualization Design Preferences from Large Language Models,10.1109/TVCG.2024.3456350,Huichen Will Wang;Mitchell L. Gordon;Leilani Battle;Jeffrey Heer,,,TRUE,V;O
Vis,2024,Dynamic Color Assignment for Hierarchical Data,10.1109/TVCG.2024.3456386,Jiashu Chen;Weikai Yang;Zelin Jia;Lanxi Xiao;Shixia Liu,HM,,TRUE,P;V;O
Vis,2024,Entanglements for Visualization: Changing Research Outcomes through Feminist Theory,10.1109/TVCG.2024.3456171,Derya Akbaba;Lauren Klein;Miriah Meyer,BP,TRUE,TRUE,P;V;O
Vis,2024,Evaluating and extending speedup techniques for optimal crossing minimization in layered graph drawings,10.1109/TVCG.2024.3456349,Connor Wilson;Eduardo Puerta;Tarik Crnovrsanin;Sara Di Bartolomeo;Cody Dunne,,TRUE,TRUE,V;O
Vis,2024,Evaluating Force-based Haptics for Immersive Tangible Interactions with Surface Visualizations,10.1109/TVCG.2024.3456316,Hamza Afzaal;Usman Alim,,,TRUE,P;V;O
Vis,2024,Fast Comparative Analysis of Merge Trees Using Locality Sensitive Hashing,10.1109/TVCG.2024.3456383,Weiran Lyu;Raghavendra Sridharamurthy;Jeff M. Phillips;Bei Wang,,,TRUE,V;O
Vis,2024,Ferry: Toward Better Understanding of Input/Output Space for Data Wrangling Scripts,10.1109/TVCG.2024.3456328,Zhongsu Luo;Kai Xiong;Jiajun Zhu;Ran Chen;Xinhuan Shu;Di Weng;Yingcai Wu,,,TRUE,V;O
Vis,2024,Fine-Tuned Large Language Model for Visualization System: A Study on Self-Regulated Learning in Education,10.1109/TVCG.2024.3456145,Lin Gao;Jing Lu;Zekai Shao;Ziyue Lin;Shengbin Yue;Chiokit Ieong;Yi Sun;Rory Zauner;Zhongyu Wei;Siming Chen,,,TRUE,P;V;O
Vis,2024,FPCS: Feature Preserving Compensated Sampling of Streaming Time Series Data,10.1109/TVCG.2024.3456375,Hongyan Li;Bo Yang;Yansong Chua,,,TRUE,V;O
Vis,2024,From Instruction to Insight: Exploring the Functional and Semantic Roles of Text in Interactive Dashboards,10.1109/TVCG.2024.3456601,Nicole Sultanum;Vidya Setlur,HM,TRUE,TRUE,P;V;O
Vis,2024,Graph Transformer for Label Placement,10.1109/TVCG.2024.3456141,Jingwei Qu;Pingshun Zhang;Enyu Che;Yinan Chen;Haibin Ling,,,TRUE,V;O
Vis,2024,HiRegEx: Interactive Visual Query and Exploration of Multivariate Hierarchical Data,10.1109/TVCG.2024.3456389,Guozheng Li;haotian mi;Chi Harold Liu;Takayuki Itoh;Guoren Wang,,,TRUE,V;O
Vis,2024,How Aligned are Human Chart Takeaways and LLM Predictions? A Case Study on Bar Charts with Varying Layouts,10.1109/TVCG.2024.3456378,Huichen Will Wang;Jane Hoffswell;Sao Myat Thazin Thane;Victor S. Bursztyn;Cindy Xiong Bearfield,,,TRUE,V;O
Vis,2024,How Good (Or Bad) Are LLMs at Detecting Misleading Visualizations?,10.1109/TVCG.2024.3456333,Leo Yu-Ho Lo;Huamin Qu,,,TRUE,P;V;O
Vis,2024,HuBar: A Visual Analytics Tool to Explore Human Behavior based on fNIRS in AR Guidance Systems,10.1109/TVCG.2024.3456388,Sonia Castelo Quispe;João Rulff;Parikshit Solunke;Erin McGowan;Guande Wu;Iran Roman;Roque Lopez;Bea Steers;Qi Sun;Juan Pablo Bello;Bradley S Feest;Michael Middleton;Ryan McKendrick;Claudio Silva,,,TRUE,P;V;O
